Date	Day	Top	Bottom
12/8/2025	Monday	Black	Grey Sweats
12/9/2025	Tuesday	Absent	Absent
12/10/2025	Wednesday	Camo hoodie	Black sweats
12/11/2025	Thursday	Absent	Absent
12/12/2025	Friday	Black	Grey sweats
12/15/2025	Monday	Camo hoodie	Black sweats
12/16/2025	Tuesday	Patagonia Jacket	Grey sweats
12/17/2025	Wednesday	Tow Truck	Black Sweats
1/5/2026	Monday	Black QZ	Grey Sweats
1/6/2026	Tuesday	Camo hoodie	Black Sweats
1/7/2026	Wednesday	Black hoodie	Grey sweats
1/8/2026	Thursday	columbia puffer	black sweats
1/9/2026	Friday	Black hoodie	Tan sweats
1/12/2026	Monday	camo hoodie	grey sweats
1/13/2026	Tuesday		
1/14/2026	Wednesday		
1/15/2026	Thursday		
1/16/2026	Friday		
1/17/2026	Saturday		
1/18/2026	Sunday		
1/19/2026	Monday		
1/20/2026	Tuesday		
1/21/2026	Wednesday		
1/22/2026	Thursday		
1/23/2026	Friday		
1/24/2026	Saturday		
1/25/2026	Sunday		
1/26/2026	Monday		
1/27/2026	Tuesday		
1/28/2026	Wednesday		
1/29/2026	Thursday		
1/30/2026	Friday		
1/31/2026	Saturday		
2/1/2026	Sunday		
2/2/2026	Monday		
2/3/2026	Tuesday		
2/4/2026	Wednesday		
2/5/2026	Thursday		
2/6/2026	Friday		
2/7/2026	Saturday		
2/8/2026	Sunday		
2/9/2026	Monday		
2/10/2026	Tuesday		
2/11/2026	Wednesday		
2/12/2026	Thursday		
